sequence,functional_domain,source_reference,title,source_scope,spec_path
90,provider-management,UC-Clinician-ProviderDirectorySearch-5,Search Providers by Clinical Capability,Scope - Clinician Search (Provider Directory),openspec/specs/provider-management/uc-clinician-providerdirectorysearch-5-search-providers-by-clinical-capability/spec.md
91,provider-management,UC-Clinician-ProviderDirectorySearch-6,Search Using Clinical Condition,Scope - Problem-Based Provider Discovery,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-6-search-using-clinical-condition/spec.md
92,provider-management,UC-Clinician-ProviderDirectorySearch-7,Search Using Procedure or Treatment Requirement,Scope - Problem-Based Provider Discovery,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-7-search-using-procedure-or-treatment-requirement/spec.md
93,provider-management,UC-Clinician-ProviderDirectorySearch-8,Search Using Care Requirement,Scope - Problem-Based Provider Discovery,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-8-search-using-care-requirement/spec.md
94,provider-management,UC-Clinician-ProviderDirectorySearch-9,Search for Complex Care Expertise,Scope - Problem-Based Provider Discovery,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-9-search-for-complex-care-expertise/spec.md
95,provider-management,UC-Clinician-ProviderDirectorySearch-10,Search for Multidisciplinary Services,Scope - Problem-Based Provider Discovery,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-10-search-for-multidisciplinary-services/spec.md
96,provider-management,UC-Clinician-ProviderDirectorySearch-11,Search Providers by Location,Scope - Location and Accessibility-Based Search,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-11-search-providers-by-location/spec.md
97,provider-management,UC-Clinician-ProviderDirectorySearch-12,Search Providers by Service Delivery Mode,Scope - Location and Accessibility-Based Search,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-12-search-providers-by-service-delivery-mode/spec.md
98,provider-management,UC-Clinician-ProviderDirectorySearch-13,Search Providers by Accessibility Requirements,Scope - Location and Accessibility-Based Search,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-13-search-providers-by-accessibility-requirements/spec.md
99,provider-management,UC-Clinician-ProviderDirectorySearch-14,Search Providers by Language Capability,Scope - Location and Accessibility-Based Search,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-14-search-providers-by-language-capability/spec.md
100,provider-management,UC-Clinician-ProviderDirectorySearch-15,Search Providers Accepting New Referrals,Scope - Availability and Referral Suitability,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-15-search-providers-accepting-new-referrals/spec.md
101,provider-management,UC-Clinician-ProviderDirectorySearch-16,View Provider Availability,Scope - Availability and Referral Suitability,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-16-view-provider-availability/spec.md
102,provider-management,UC-Clinician-ProviderDirectorySearch-17,Identify Referral Requirements,Scope - Availability and Referral Suitability,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-17-identify-referral-requirements/spec.md
103,provider-management,UC-Clinician-ProviderDirectorySearch-18,Compare Provider Options,Scope - Availability and Referral Suitability,openspec/specs/provider-management/uc-clinician-providerdirectorysearch-18-compare-provider-options/spec.md
104,patient-identity-management,UC-Participant-Identity-1,Provide Identity Details,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-1-provide-identity-details/spec.md
105,patient-identity-management,UC-Participant-Identity-2,Submit Identity Evidence,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-2-submit-identity-evidence/spec.md
106,patient-identity-management,UC-Participant-Identity-3,Confirm My Identity,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-3-confirm-my-identity/spec.md
107,patient-identity-management,UC-Participant-Identity-4,View Identity Verification Status,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-4-view-identity-verification-status/spec.md
108,patient-identity-management,UC-Participant-Identity-5,Correct My Identity Information,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-5-correct-my-identity-information/spec.md
109,patient-identity-management,UC-Participant-Identity-6,Update Personal Details,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-6-update-personal-details/spec.md
110,patient-identity-management,UC-Participant-Identity-7,Update Contact Information,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-7-update-contact-information/spec.md
111,patient-identity-management,UC-Participant-Identity-8,Provide Supporting Documentation,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-8-provide-supporting-documentation/spec.md
112,patient-identity-management,UC-Participant-Identity-9,Respond to Identity Queries,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-9-respond-to-identity-queries/spec.md
113,patient-identity-management,UC-Participant-Identity-10,View My Identity Information,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-10-view-my-identity-information/spec.md
114,patient-identity-management,UC-Participant-Identity-11,Receive Verification Notifications,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-11-receive-verification-notifications/spec.md
115,patient-identity-management,UC-Participant-Identity-12,Resolve Identity Issues,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-12-resolve-identity-issues/spec.md
116,patient-identity-management,UC-Participant-Identity-13,Link My Healthcare Identifier,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-13-link-my-healthcare-identifier/spec.md
117,patient-identity-management,UC-Participant-Identity-14,Review Identity Change History,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-14-review-identity-change-history/spec.md
118,patient-identity-management,UC-Participant-Identity-15,Replace Expired Identity Documents,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-15-replace-expired-identity-documents/spec.md
119,patient-identity-management,UC-Participant-Identity-16,Manage Preferred Name,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-16-manage-preferred-name/spec.md
120,patient-identity-management,UC-Participant-Identity-17,Manage Gender and Sex Information,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-17-manage-gender-and-sex-information/spec.md
